Ref,Val,Package,PosX,PosY,Rot,Side
"C301","DNP","C_0402_1005Metric_RF",85.400000,-55.000000,180.000000,top
"C302","DNP","C_0402_1005Metric_RF",88.700000,-53.000000,0.000000,top
"D7","SS34","PASSIVE_2PAD_PLACEHOLDER",38.000000,-63.000000,0.000000,top
"F2","500mA","PASSIVE_2PAD_PLACEHOLDER",31.000000,-63.000000,0.000000,top
"J1","RJ45_POE","RJ45_POE_MAG_PLACEHOLDER",25.000000,-30.000000,90.000000,top
"J2","USB_C_PC","USB_C_PC_PLACEHOLDER",25.000000,-58.000000,90.000000,top
"J3","SMA_EXT_OMNI","SMA_RF_PLACEHOLDER",87.000000,-45.000000,-90.000000,top
"L301","0R_MOUNTED","L_0402_1005Metric",87.500000,-55.000000,0.000000,top
"R201","5k1","PASSIVE_2PAD_PLACEHOLDER",31.000000,-56.000000,90.000000,top
"R202","5k1","PASSIVE_2PAD_PLACEHOLDER",31.000000,-51.000000,90.000000,top
"SJ101","DNP","SJ_2PAD_PLACEHOLDER",52.600000,-54.000000,0.000000,top
"SJ102","DNP","SJ_2PAD_PLACEHOLDER",52.600000,-58.000000,0.000000,top
"SJ103","DNP","SJ_2PAD_PLACEHOLDER",53.000000,-62.000000,0.000000,top
"SJ104","DNP","SJ_2PAD_PLACEHOLDER",53.000000,-66.000000,0.000000,top
"SJ201","0R_MOUNTED","SJ_2PAD_PLACEHOLDER",65.500000,-54.000000,0.000000,top
"SJ202","0R_MOUNTED","SJ_2PAD_PLACEHOLDER",65.500000,-58.000000,0.000000,top
"SJ203","0R_MOUNTED","SJ_2PAD_PLACEHOLDER",65.500000,-62.000000,0.000000,top
"SJ204","0R_MOUNTED","SJ_2PAD_PLACEHOLDER",65.500000,-66.000000,0.000000,top
"TP301","TP_SWDIO_GND","PASSIVE_2PAD_PLACEHOLDER",84.500000,-68.000000,180.000000,top
"TP302","TP_SWDCLK_GND","PASSIVE_2PAD_PLACEHOLDER",79.500000,-68.000000,180.000000,top
"U1","ESP32-WROOM-32E","ESP32_WROOM_32E_PLACEHOLDER",46.000000,-43.000000,0.000000,top
"U2","W5500","W5500_LQFP48_PLACEHOLDER",71.000000,-38.000000,0.000000,top
"U3","nRF9151-SICA","NRF9151_SIP_PLACEHOLDER",79.000000,-58.000000,0.000000,top
"U4","Ag9905M","POE_PD_8023AF_PLACEHOLDER",42.000000,-29.000000,0.000000,top
"U5","R-78B3.3-2.0","BUCK_5V3V3_PLACEHOLDER",62.000000,-29.000000,0.000000,top
"U6","CP2102N","CP2102N_PLACEHOLDER",42.000000,-60.000000,0.000000,top
"U7","AUTO_PROG_NET","AUTO_PROG_NET_PLACEHOLDER",76.000000,-26.000000,0.000000,top
