"Refs","Value","Footprint","Qty","DNP"
"C301","DNP","gateway_min_local:C_0402_1005Metric_RF","1",""
"C302","DNP","gateway_min_local:C_0402_1005Metric_RF","1",""
"D7","SS34","PASSIVE_2PAD_PLACEHOLDER","1",""
"F2","500mA","PASSIVE_2PAD_PLACEHOLDER","1",""
"J1","RJ45_POE","RJ45_POE_MAG_PLACEHOLDER","1",""
"J2","USB_C_PC","USB_C_PC_PLACEHOLDER","1",""
"J3","SMA_EXT_OMNI","gateway_min_local:SMA_RF_PLACEHOLDER","1",""
"L301","0R_MOUNTED","Inductor_SMD:L_0402_1005Metric","1",""
"R201","5k1","PASSIVE_2PAD_PLACEHOLDER","1",""
"R202","5k1","PASSIVE_2PAD_PLACEHOLDER","1",""
"SJ101","DNP","SJ_2PAD_PLACEHOLDER","1",""
"SJ102","DNP","SJ_2PAD_PLACEHOLDER","1",""
"SJ103","DNP","SJ_2PAD_PLACEHOLDER","1",""
"SJ104","DNP","SJ_2PAD_PLACEHOLDER","1",""
"SJ201","0R_MOUNTED","SJ_2PAD_PLACEHOLDER","1",""
"SJ202","0R_MOUNTED","SJ_2PAD_PLACEHOLDER","1",""
"SJ203","0R_MOUNTED","SJ_2PAD_PLACEHOLDER","1",""
"SJ204","0R_MOUNTED","SJ_2PAD_PLACEHOLDER","1",""
"TP301","TP_SWDIO_GND","PASSIVE_2PAD_PLACEHOLDER","1",""
"TP302","TP_SWDCLK_GND","PASSIVE_2PAD_PLACEHOLDER","1",""
"U1","ESP32-WROOM-32E","ESP32_WROOM_32E_PLACEHOLDER","1",""
"U2","W5500","W5500_LQFP48_PLACEHOLDER","1",""
"U3","nRF9151-SICA","NRF9151_SIP_PLACEHOLDER","1",""
"U4","Ag9905M","POE_PD_8023AF_PLACEHOLDER","1",""
"U5","R-78B3.3-2.0","BUCK_5V3V3_PLACEHOLDER","1",""
"U6","CP2102N","CP2102N_PLACEHOLDER","1",""
"U7","AUTO_PROG_NET","AUTO_PROG_NET_PLACEHOLDER","1",""
